State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Alabama,Baldwin,2025,88,63,25,0,0,70,42,0.7159090909090909,0.0
Alabama,Clay,2025,90,74,15,1,0,133,30,0.8222222222222222,0.011111111111111112
Alabama,Dekalb,2025,120,94,26,0,0,93,41,0.7833333333333333,0.0
Alabama,Elmore,2025,31,29,2,0,0,58,41,0.9354838709677419,0.0
Alabama,Etowah,2025,88,61,27,0,0,82,43,0.6931818181818182,0.0
Alabama,Jefferson,2025,91,29,61,1,0,112,56,0.31868131868131866,0.01098901098901099
Alabama,Madison,2025,90,69,21,0,0,72,42,0.7666666666666667,0.0
Alabama,Mobile,2025,88,63,25,0,0,68,42,0.7159090909090909,0.0
Alabama,Montgomery,2025,84,55,29,0,0,90,43,0.6547619047619048,0.0
Alabama,Morgan,2025,90,75,15,0,0,71,39,0.8333333333333334,0.0
Alabama,Russell,2025,50,32,18,0,0,88,44,0.64,0.0
Alabama,Shelby,2025,31,29,2,0,0,64,41,0.9354838709677419,0.0
Alabama,Sumter,2025,89,77,12,0,0,63,38,0.8651685393258427,0.0
Alabama,Tuscaloosa,2025,90,71,19,0,0,81,38,0.7888888888888889,0.0
Alaska,Anchorage,2025,91,59,31,1,0,110,34,0.6483516483516484,0.01098901098901099
Alaska,Denali,2025,120,120,0,0,0,49,41,1.0,0.0
Alaska,Fairbanks North Star,2025,91,38,45,5,3,190,54,0.4175824175824176,0.08791208791208792
Alaska,Juneau,2025,90,68,21,1,0,138,30,0.7555555555555555,0.011111111111111112
Alaska,Matanuska-Susitna,2025,90,75,14,1,0,106,7,0.8333333333333334,0.011111111111111112
Arizona,Apache,2025,178,177,1,0,0,52,17,0.9943820224719101,0.0
Arizona,Cochise,2025,181,134,43,2,1,328,44,0.7403314917127072,0.016574585635359115
Arizona,Coconino,2025,181,104,76,1,0,105,49,0.574585635359116,0.0055248618784530384
Arizona,Gila,2025,181,90,82,9,0,132,51,0.4972375690607735,0.049723756906077346
Arizona,La Paz,2025,179,118,61,0,0,100,47,0.659217877094972,0.0
Arizona,Maricopa,2025,182,8,151,22,0,366,76,0.04395604395604396,0.12087912087912088
Arizona,Mohave,2025,179,169,10,0,0,75,17,0.9441340782122905,0.0
Arizona,Navajo,2025,181,181,0,0,0,45,13,1.0,0.0
Arizona,Pima,2025,181,91,85,2,2,251,50,0.5027624309392266,0.022099447513812154
Arizona,Pinal,2025,181,37,129,12,0,1215,66,0.20441988950276244,0.06629834254143646
Arizona,Santa Cruz,2025,180,95,83,1,1,187,48,0.5277777777777778,0.011111111111111112
Arizona,Yavapai,2025,178,103,75,0,0,97,49,0.5786516853932584,0.0
Arizona,Yuma,2025,181,93,82,5,0,211,50,0.5138121546961326,0.027624309392265192
Arkansas,Arkansas,2025,61,36,25,0,0,77,43,0.5901639344262295,0.0
Arkansas,Ashley,2025,61,41,20,0,0,68,39,0.6721311475409836,0.0
Arkansas,Clark,2025,120,115,5,0,0,74,35,0.9583333333333334,0.0
Arkansas,Crittenden,2025,181,155,25,1,0,112,39,0.856353591160221,0.0055248618784530384
Arkansas,Garland,2025,60,38,22,0,0,92,44,0.6333333333333333,0.0
Arkansas,Jackson,2025,61,47,14,0,0,79,38,0.7704918032786885,0.0
Arkansas,Newton,2025,181,170,11,0,0,77,38,0.9392265193370166,0.0
Arkansas,Polk,2025,180,144,35,1,0,119,39,0.8,0.005555555555555556
Arkansas,Pulaski,2025,182,67,111,2,1,239,53,0.36813186813186816,0.016483516483516484
Arkansas,Union,2025,61,32,29,0,0,70,50,0.5245901639344263,0.0
Arkansas,Washington,2025,181,152,29,0,0,74,41,0.8397790055248618,0.0
California,Amador,2025,90,90,0,0,0,46,32,1.0,0.0
California,Butte,2025,100,58,42,0,0,96,44,0.58,0.0
California,Calaveras,2025,90,73,17,0,0,62,38,0.8111111111111111,0.0
California,Colusa,2025,179,165,14,0,0,80,31,0.9217877094972067,0.0
