county_fips,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043288,0.010427,0.067,0.067,0.067,0.065,5345,91,Y
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043288,0.010427,0.067,0.067,0.067,0.065,5345,91,Y
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043255,0.010435,0.067,0.067,0.067,0.065,3789,88,Y
01049,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04607,0.008512,0.08,0.071,0.067,0.066,8705,100,Y
01049,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04607,0.008512,0.08,0.071,0.067,0.066,8705,100,Y
01049,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.045897,0.008854,0.08,0.071,0.067,0.066,6167,99,Y
01051,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041097,0.008873,0.067,0.063,0.061,0.061,5704,97,Y
01051,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041097,0.008873,0.067,0.063,0.061,0.061,5704,97,Y
01051,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041051,0.008985,0.067,0.063,0.061,0.061,4035,96,Y
01055,Alabama,Etowah,Southside,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043682,0.008877,0.07,0.067,0.066,0.065,5759,98,Y
01055,Alabama,Etowah,Southside,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043682,0.008877,0.07,0.067,0.066,0.065,5759,98,Y
01055,Alabama,Etowah,Southside,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043546,0.008975,0.07,0.067,0.066,0.065,4089,97,Y
01073,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043331,0.011773,0.082,0.078,0.076,0.075,8688,99,Y
01073,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043331,0.011773,0.082,0.078,0.076,0.075,8688,99,Y
