County Code,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.047,0.007278,0.059,0.058,0.056,0.056,733,12,N
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.047,0.007278,0.059,0.058,0.056,0.056,733,12,N
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.0467,0.007693,0.059,0.058,0.056,0.056,521,12,N
49,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.047279,0.009501,0.068,0.068,0.064,0.063,2862,25,N
49,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.047279,0.009501,0.068,0.068,0.064,0.063,2862,25,N
49,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.046967,0.009913,0.068,0.068,0.064,0.063,2028,24,N
51,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.044367,0.007044,0.057,0.055,0.053,0.052,732,12,N
51,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.044367,0.007044,0.057,0.055,0.053,0.052,732,12,N
51,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.044133,0.007385,0.057,0.055,0.053,0.052,520,12,N
55,Alabama,Etowah,Gadsden,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04771,0.007417,0.064,0.063,0.058,0.058,740,13,N
55,Alabama,Etowah,Gadsden,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04771,0.007417,0.064,0.063,0.058,0.058,740,13,N
55,Alabama,Etowah,Gadsden,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.047667,0.007836,0.064,0.063,0.058,0.058,523,12,N
73,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.033214,0.007365,0.051,0.046,0.046,0.045,1373,15,N
73,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.033214,0.007365,0.051,0.046,0.046,0.045,1373,15,N
73,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.032929,0.007434,0.051,0.046,0.045,0.043,974,15,N
73,Alabama,Jefferson,,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.054,0.048,0.046,0.041,98,0,N
73,Alabama,Jefferson,,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.054,0.048,0.046,0.041,98,0,N
73,Alabama,Jefferson,,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.054,0.046,0.041,,70,0,N
73,Alabama,Jefferson,Leeds,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.057,0.052,0.05,0.048,129,0,N
73,Alabama,Jefferson,Leeds,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.057,0.052,0.05,0.048,129,0,N
73,Alabama,Jefferson,Leeds,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.057,0.052,0.048,0.044,94,0,N
73,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.053,0.049,0.046,,74,0,N
73,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.053,0.049,0.046,,74,0,N
73,Alabama,Jefferson,Birmingham,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,0.053,0.047,0.046,,56,0,N
73,Alabama,Jefferson,Tarrant (corporate name for Tarrant City),Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,,,,,9,0,N
73,Alabama,Jefferson,Tarrant (corporate name for Tarrant City),Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,,,,,9,0,N
73,Alabama,Jefferson,Tarrant (corporate name for Tarrant City),Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,,,,,,,9,0,N
89,Alabama,Madison,Huntsville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039806,0.006321,0.051,0.05,0.049,0.049,741,13,N
89,Alabama,Madison,Huntsville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039806,0.006321,0.051,0.05,0.049,0.049,741,13,N
89,Alabama,Madison,Huntsville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039733,0.00648,0.051,0.05,0.049,0.049,524,12,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.346667,2.739586,15.2,9.5,9.2,9.1,30,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),5.653333,2.402043,9.3,8.8,8.4,8.3,15,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),5.653333,2.402043,9.3,8.8,8.4,8.3,15,25,N
89,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),5.653333,2.402043,9.3,8.8,8.4,8.3,15,25,N
