State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Alabama,Baldwin,2015,264,205,58,1,0,129,39,0.7765151515151515,0.003787878787878788
Alabama,Clay,2015,112,73,39,0,0,92,43,0.6517857142857143,0.0
Alabama,Colbert,2015,280,221,59,0,0,76,39,0.7892857142857143,0.0
Alabama,Dekalb,2015,363,294,68,1,0,101,38,0.8099173553719008,0.0027548209366391185
Alabama,Elmore,2015,233,223,9,1,0,115,35,0.9570815450643777,0.004291845493562232
Alabama,Etowah,2015,365,132,226,4,3,176,54,0.36164383561643837,0.019178082191780823
Alabama,Houston,2015,283,241,42,0,0,74,36,0.8515901060070671,0.0
Alabama,Jefferson,2015,365,106,254,5,0,147,55,0.29041095890410956,0.0136986301369863
Alabama,Lawrence,2015,114,92,22,0,0,74,36,0.8070175438596491,0.0
Alabama,Madison,2015,333,265,68,0,0,87,39,0.7957957957957958,0.0
Alabama,Mobile,2015,363,192,170,1,0,105,48,0.5289256198347108,0.0027548209366391185
Alabama,Montgomery,2015,359,135,223,1,0,115,53,0.37604456824512533,0.002785515320334262
Alabama,Morgan,2015,365,241,124,0,0,93,44,0.6602739726027397,0.0
Alabama,Russell,2015,337,110,225,2,0,141,54,0.3264094955489614,0.005934718100890208
Alabama,Shelby,2015,257,207,48,2,0,115,40,0.8054474708171206,0.007782101167315175
Alabama,Sumter,2015,314,169,144,1,0,107,48,0.5382165605095541,0.0031847133757961785
Alabama,Talladega,2015,107,47,60,0,0,84,52,0.4392523364485981,0.0
Alabama,Tuscaloosa,2015,357,94,263,0,0,91,56,0.26330532212885155,0.0
Alaska,Aleutians East,2015,117,117,0,0,0,44,13,1.0,0.0
Alaska,Anchorage,2015,361,261,100,0,0,79,34,0.7229916897506925,0.0
Alaska,Denali,2015,363,355,8,0,0,90,35,0.977961432506887,0.0
Alaska,Fairbanks North Star,2015,365,124,178,20,37,263,59,0.33972602739726027,0.15616438356164383
Alaska,Juneau,2015,351,262,89,0,0,92,28,0.7464387464387464,0.0
Alaska,Kenai Peninsula,2015,40,40,0,0,0,22,7,1.0,0.0
Alaska,Matanuska-Susitna,2015,365,269,85,10,1,155,31,0.736986301369863,0.030136986301369864
Alaska,Yukon-Koyukuk,2015,83,80,3,0,0,96,6,0.963855421686747,0.0
Arizona,Apache,2015,361,361,0,0,0,46,11,1.0,0.0
Arizona,Cochise,2015,365,272,93,0,0,90,44,0.7452054794520548,0.0
Arizona,Coconino,2015,365,258,103,4,0,108,44,0.7068493150684931,0.010958904109589041
Arizona,Gila,2015,365,258,102,5,0,129,43,0.7068493150684931,0.0136986301369863
Arizona,La Paz,2015,360,273,84,3,0,108,42,0.7583333333333333,0.008333333333333333
Arizona,Maricopa,2015,365,62,267,36,0,147,66,0.16986301369863013,0.09863013698630137
Arizona,Mohave,2015,364,350,14,0,0,62,17,0.9615384615384616,0.0
Arizona,Navajo,2015,365,316,49,0,0,100,39,0.8657534246575342,0.0
Arizona,Pima,2015,365,236,128,1,0,101,46,0.6465753424657534,0.0027397260273972603
Arizona,Pinal,2015,365,86,233,33,3,924,63,0.2356164383561644,0.09863013698630137
Arizona,Santa Cruz,2015,365,261,101,3,0,135,38,0.7150684931506849,0.00821917808219178
Arizona,Yavapai,2015,300,235,65,0,0,100,41,0.7833333333333333,0.0
Arizona,Yuma,2015,365,252,99,13,0,266,44,0.6904109589041096,0.03561643835616438
Arkansas,Arkansas,2015,116,65,51,0,0,74,46,0.5603448275862069,0.0
Arkansas,Ashley,2015,116,78,38,0,0,76,42,0.6724137931034483,0.0
Arkansas,Clark,2015,320,305,15,0,0,87,33,0.953125,0.0
Arkansas,Crittenden,2015,365,283,81,1,0,101,37,0.7753424657534247,0.0027397260273972603
Arkansas,Garland,2015,120,77,43,0,0,75,46,0.6416666666666667,0.0
Arkansas,Jackson,2015,119,77,42,0,0,68,42,0.6470588235294118,0.0
Arkansas,Newton,2015,365,329,36,0,0,90,35,0.9013698630136986,0.0
Arkansas,Polk,2015,361,286,74,1,0,101,39,0.7922437673130194,0.002770083102493075
Arkansas,Pulaski,2015,365,151,214,0,0,100,53,0.4136986301369863,0.0
Arkansas,Union,2015,119,73,46,0,0,77,43,0.6134453781512605,0.0
Arkansas,Washington,2015,365,313,52,0,0,90,38,0.8575342465753425,0.0
California,Alameda,2015,365,146,207,12,0,147,54,0.4,0.03287671232876712
California,Alpine,2015,31,1,14,13,3,177,102,0.03225806451612903,0.5161290322580645
California,Amador,2015,364,283,73,8,0,140,41,0.7774725274725275,0.02197802197802198
California,Butte,2015,365,138,214,12,1,153,55,0.3780821917808219,0.03561643835616438
California,Calaveras,2015,365,216,127,18,1,390,47,0.5917808219178082,0.052054794520547946
California,Colusa,2015,365,141,218,4,1,208,53,0.3863013698630137,0.0136986301369863
California,Contra Costa,2015,365,193,164,8,0,147,48,0.5287671232876713,0.021917808219178082
California,Del Norte,2015,114,101,13,0,0,72,20,0.8859649122807017,0.0
California,El Dorado,2015,365,238,103,22,2,166,44,0.6520547945205479,0.06575342465753424
California,Fresno,2015,365,38,225,78,23,205,80,0.10410958904109589,0.27671232876712326
California,Glenn,2015,365,221,144,0,0,93,46,0.6054794520547945,0.0
California,Humboldt,2015,365,241,124,0,0,91,40,0.6602739726027397,0.0
California,Imperial,2015,365,49,274,39,3,184,66,0.13424657534246576,0.11506849315068493
California,Inyo,2015,365,191,153,12,6,1482,49,0.5232876712328767,0.049315068493150684
California,Kern,2015,365,23,220,93,28,201,84,0.06301369863013699,0.3315068493150685
California,Kings,2015,365,72,223,60,10,182,74,0.19726027397260273,0.1917808219178082
California,Lake,2015,363,351,11,1,0,148,36,0.9669421487603306,0.0027548209366391185
California,Los Angeles,2015,365,3,230,95,36,203,80,0.00821917808219178,0.3589041095890411
California,Madera,2015,365,78,240,43,4,156,64,0.2136986301369863,0.12876712328767123
California,Marin,2015,365,226,137,2,0,103,43,0.6191780821917808,0.005479452054794521
California,Mariposa,2015,365,220,134,6,4,240,47,0.6027397260273972,0.0273972602739726
California,Mendocino,2015,365,213,148,2,2,164,46,0.5835616438356165,0.010958904109589041
California,Merced,2015,365,107,213,41,4,159,61,0.29315068493150687,0.1232876712328767
California,Mono,2015,365,318,28,2,4,4384,15,0.8712328767123287,0.01643835616438356
California,Monterey,2015,365,285,79,1,0,120,41,0.7808219178082192,0.0027397260273972603
California,Napa,2015,365,158,206,1,0,108,53,0.4328767123287671,0.0027397260273972603
California,Nevada,2015,364,213,120,29,2,166,48,0.5851648351648352,0.08516483516483517
California,Orange,2015,365,57,287,19,2,156,61,0.15616438356164383,0.057534246575342465
California,Placer,2015,365,179,177,8,1,189,51,0.4904109589041096,0.024657534246575342
California,Plumas,2015,132,52,66,10,4,159,56,0.3939393939393939,0.10606060606060606
California,Riverside,2015,365,19,206,106,32,238,88,0.052054794520547946,0.3780821917808219
California,Sacramento,2015,365,101,237,24,3,172,58,0.27671232876712326,0.07397260273972603
California,San Benito,2015,365,303,62,0,0,93,40,0.8301369863013699,0.0
California,San Bernardino,2015,365,14,221,88,37,223,84,0.038356164383561646,0.3424657534246575
California,San Diego,2015,365,46,278,40,1,156,65,0.12602739726027398,0.11232876712328767
California,San Francisco,2015,365,246,119,0,0,100,39,0.673972602739726,0.0
