county_fips,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039977,0.011011,0.069,0.067,0.066,0.064,5393,90,Y
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039977,0.011011,0.069,0.067,0.066,0.064,5393,90,Y
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039614,0.010986,0.069,0.067,0.066,0.064,3841,91,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.158879,3.062307,19.3,18.0,17.1,14.4,107,88,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.011818,3.114592,18.1,16.8,14.8,14.4,110,90,Y
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.011818,3.114592,18.1,16.8,14.8,14.4,110,90,Y
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.011818,3.114592,18.1,16.8,14.8,14.4,110,90,Y
