county_fips,county_name,state,pop_total,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
01001,Autauga,AL,55601,10.2,7.7,6.9,3.4,19.8,11.3,26.4,13.3,15.8,2020
01003,Baldwin,AL,218022,9.6,7.1,6.0,3.0,18.5,9.5,23.5,11.6,14.8,2020
01005,Barbour,AL,24881,11.7,10.5,9.0,5.1,25.5,16.9,36.8,18.1,19.0,2020
01007,Bibb,AL,22400,10.3,9.1,7.6,3.8,23.1,12.6,31.2,15.1,17.1,2020
01009,Blount,AL,57840,10.2,9.0,7.5,3.5,23.0,11.3,30.1,14.8,17.1,2020
01011,Bullock,AL,10138,11.8,9.9,8.8,5.5,24.9,18.5,38.1,17.9,18.2,2020
01013,Butler,AL,19680,11.6,9.6,8.0,4.6,22.8,15.3,35.6,16.9,18.5,2020
01015,Calhoun,AL,114277,11.2,9.0,7.6,3.8,21.2,12.7,29.3,15.2,17.8,2020
01017,Chambers,AL,33615,11.2,9.1,7.8,4.3,23.2,14.4,32.7,15.8,17.6,2020
01019,Cherokee,AL,26032,10.5,9.7,7.9,3.7,23.6,12.0,30.9,15.6,18.1,2020
01021,Chilton,AL,44153,10.7,9.6,8.0,3.8,23.4,13.0,33.0,15.7,17.8,2020
01023,Choctaw,AL,12841,11.5,9.5,7.9,4.5,23.3,14.6,34.0,16.3,18.3,2020
01025,Clarke,AL,23920,11.5,9.7,8.3,4.6,24.3,15.6,35.8,17.0,18.5,2020
01027,Clay,AL,13275,11.1,10.1,8.0,4.0,25.2,13.0,32.5,16.4,18.7,2020
01029,Cleburne,AL,14987,10.5,9.8,7.8,3.7,24.1,11.6,30.4,15.5,18.2,2020
01031,Coffee,AL,51909,10.2,8.0,6.9,3.4,21.4,12.2,29.8,13.8,15.9,2020
01033,Colbert,AL,54762,10.5,8.8,7.4,3.6,22.0,12.1,29.7,14.4,17.0,2020
01035,Conecuh,AL,12277,11.8,10.3,8.5,4.9,25.8,16.0,38.6,17.5,19.2,2020
01037,Coosa,AL,10715,11.1,9.5,8.0,4.2,24.6,14.0,33.2,16.1,17.9,2020
01039,Covington,AL,36986,10.9,9.1,7.7,3.7,23.4,12.4,31.4,15.4,17.5,2020
01041,Crenshaw,AL,13824,11.0,9.4,7.8,4.0,23.1,13.3,31.7,15.8,18.2,2020
01043,Cullman,AL,83442,10.4,9.4,7.5,3.5,22.6,11.4,30.9,15.2,17.4,2020
01045,Dale,AL,48956,10.4,8.6,7.4,3.7,21.5,12.7,30.2,14.8,16.9,2020
01047,Dallas,AL,38310,12.4,9.8,8.6,5.4,24.9,17.8,39.6,17.6,19.0,2020
01049,DeKalb,AL,71385,11.0,10.9,8.7,4.1,25.1,13.3,33.5,17.5,19.4,2020
01051,Elmore,AL,81887,10.4,7.7,6.8,3.3,19.3,11.4,27.5,12.8,15.6,2020
01053,Escambia,AL,36748,11.2,10.0,8.5,4.5,25.4,14.9,33.9,17.2,18.6,2020
01055,Etowah,AL,102501,10.7,9.1,7.7,3.7,23.1,12.6,31.0,15.0,17.5,2020
