county_fips,county_name,state,pop_total,pop_18plus,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
17065,Hamilton,IL,7984,6181,10.7,7.5,6.4,3.4,18.2,10.3,23.9,13.9,19.2,2024
36099,Seneca,NY,32882,26182,11.0,6.7,6.1,3.1,16.3,8.9,25.0,12.4,18.3,2024
40061,Haskell,OK,11641,8933,13.5,10.0,8.2,4.2,24.0,13.5,34.6,17.4,23.1,2024
17097,Lake,IL,709150,546991,9.1,5.3,5.4,2.8,13.1,10.6,21.3,11.5,15.7,2024
20005,Atchison,KS,16108,12602,11.2,7.6,6.4,3.3,18.4,10.6,25.2,12.2,17.9,2024
02020,Anchorage,AK,287145,219637,10.2,4.6,5.1,2.7,13.6,7.9,19.9,11.1,14.8,2024
40133,Seminole,OK,23351,17739,13.4,9.9,8.5,4.5,22.8,13.8,35.5,17.1,21.9,2024
54055,Mercer,WV,58700,46324,12.6,9.2,7.1,3.4,20.2,12.5,29.7,15.6,23.0,2024
27013,Blue Earth,MN,69631,56029,10.9,6.6,6.1,3.3,18.5,9.9,24.7,13.1,18.8,2024
31019,Buffalo,NE,50586,39327,9.9,6.8,6.4,3.1,17.8,10.2,26.7,12.3,16.3,2024
21083,Graves,KY,36412,27683,11.2,9.3,7.0,3.5,20.7,12.2,29.4,15.2,19.3,2024
51001,Accomack,VA,33191,26541,11.6,8.9,6.6,4.0,21.7,13.6,29.7,15.8,21.2,2024
48211,Hemphill,TX,3217,2330,9.5,6.6,6.0,2.9,16.7,11.3,26.3,12.6,18.5,2024
29205,Shelby,MO,5982,4515,11.0,9.6,7.5,3.8,23.0,11.4,29.0,16.2,20.5,2024
29033,Carroll,MO,8423,6583,10.7,8.3,6.7,3.4,21.3,10.0,27.1,14.7,19.9,2024
47045,Dyer,TN,36410,27775,12.0,9.8,6.7,3.6,24.7,12.8,32.0,15.9,22.9,2024
19037,Chickasaw,IA,11716,9018,9.8,6.2,5.8,2.9,16.1,9.0,23.5,10.8,15.7,2024
27043,Faribault,MN,13926,10880,10.2,5.4,5.8,2.9,14.0,9.0,19.7,10.9,16.1,2024
31125,Nance,NE,3326,2543,9.6,6.3,6.1,3.0,17.0,9.9,26.6,11.7,16.1,2024
39099,Mahoning,OH,225636,180235,11.6,8.7,7.0,3.5,21.6,12.5,27.9,14.5,20.9,2024
28017,Chickasaw,MS,16812,12664,11.0,9.8,7.7,4.8,21.8,15.1,37.0,15.9,19.5,2024
48175,Goliad,TX,7131,5683,9.5,6.7,6.6,3.3,16.0,12.8,28.1,13.3,18.1,2024
21059,Daviess,KY,103222,78377,11.0,9.0,6.8,3.4,19.2,11.4,24.2,14.3,18.2,2024
28133,Sunflower,MS,24811,19533,11.1,9.5,7.7,5.4,22.8,17.4,38.9,16.1,18.7,2024
12087,Monroe,FL,81708,69005,9.0,6.4,6.0,2.9,13.8,9.5,22.5,11.8,16.9,2024
48439,Tarrant,TX,2154595,1611487,9.4,6.1,5.8,3.1,14.6,12.4,25.8,12.2,16.8,2024
27107,Norman,MN,6377,4876,10.3,5.6,5.7,2.9,16.8,9.0,22.2,11.4,16.8,2024
05053,Grant,AR,18160,14212,10.9,7.7,6.9,3.2,20.4,11.0,30.0,15.0,21.3,2024
51141,Patrick,VA,17643,14571,11.0,8.8,6.8,3.7,18.4,11.9,25.0,15.1,20.5,2024
17063,Grundy,IL,53041,40320,9.6,5.6,5.3,2.7,13.2,9.1,20.5,11.1,16.0,2024
35049,Santa Fe,NM,155664,130494,10.2,4.7,5.3,2.7,11.4,8.9,17.8,11.5,15.5,2024
23023,Sagadahoc,ME,37393,30775,11.7,6.5,6.1,2.8,15.5,8.0,19.5,11.2,17.9,2024
22107,Tensas,LA,3846,3034,12.4,11.6,8.2,5.8,28.6,17.8,41.9,19.9,25.0,2024
42099,Perry,PA,46114,36580,10.8,7.2,6.1,2.9,18.8,8.8,23.3,12.7,18.8,2024
42121,Venango,PA,49777,40467,10.9,7.6,6.5,3.2,18.2,9.5,25.3,13.2,18.8,2024
55009,Brown,WI,270036,208764,11.0,5.5,5.4,2.7,16.5,8.9,21.9,11.4,16.8,2024
18123,Perry,IN,19183,15259,10.5,8.2,6.7,3.3,19.3,10.6,27.0,12.8,17.8,2024
