county_fips,state,countyname,n1_inflow,n1_outflow,net_migration,agi_inflow,agi_outflow
01001,AL,Autauga County Total Migration-US and Foreign,2169,1914,255,120570,111235
01003,AL,Baldwin County Total Migration-US and Foreign,7433,4823,2610,628150,280086
01005,AL,Barbour County Total Migration-US and Foreign,437,399,38,16804,18592
01007,AL,Bibb County Total Migration-US and Foreign,399,418,-19,17647,17248
01009,AL,Blount County Total Migration-US and Foreign,1434,1248,186,73907,60874
01011,AL,Bullock County Total Migration-US and Foreign,136,201,-65,5665,7865
01013,AL,Butler County Total Migration-US and Foreign,285,299,-14,10572,12715
01015,AL,Calhoun County Total Migration-US and Foreign,2262,2353,-91,114034,101281
01017,AL,Chambers County Total Migration-US and Foreign,709,848,-139,27868,35702
01019,AL,Cherokee County Total Migration-US and Foreign,623,459,164,35444,18461
01021,AL,Chilton County Total Migration-US and Foreign,895,750,145,46826,31994
01023,AL,Choctaw County Total Migration-US and Foreign,186,186,0,7226,7655
01025,AL,Clarke County Total Migration-US and Foreign,312,418,-106,13559,18774
01027,AL,Clay County Total Migration-US and Foreign,246,251,-5,11625,9071
01029,AL,Cleburne County Total Migration-US and Foreign,312,290,22,14678,11940
01031,AL,Coffee County Total Migration-US and Foreign,2105,1924,181,103413,99371
01033,AL,Colbert County Total Migration-US and Foreign,1443,1223,220,72850,65250
01035,AL,Conecuh County Total Migration-US and Foreign,208,213,-5,8572,8150
01037,AL,Coosa County Total Migration-US and Foreign,282,284,-2,13932,9950
01039,AL,Covington County Total Migration-US and Foreign,594,630,-36,26340,26406
01041,AL,Crenshaw County Total Migration-US and Foreign,254,265,-11,9065,10752
01043,AL,Cullman County Total Migration-US and Foreign,1863,1346,517,122265,68480
01045,AL,Dale County Total Migration-US and Foreign,2247,2271,-24,100163,105976
01047,AL,Dallas County Total Migration-US and Foreign,449,699,-250,15643,26811
01049,AL,DeKalb County Total Migration-US and Foreign,1399,1191,208,60849,48270
01051,AL,Elmore County Total Migration-US and Foreign,2640,2246,394,156265,152910
01053,AL,Escambia County Total Migration-US and Foreign,614,634,-20,24258,26075
01055,AL,Etowah County Total Migration-US and Foreign,1913,1812,101,88903,81577
01057,AL,Fayette County Total Migration-US and Foreign,328,322,6,14230,13188
01059,AL,Franklin County Total Migration-US and Foreign,532,542,-10,21585,24255
01061,AL,Geneva County Total Migration-US and Foreign,632,523,109,24740,19730
01063,AL,Greene County Total Migration-US and Foreign,132,149,-17,4378,3829
01065,AL,Hale County Total Migration-US and Foreign,328,356,-28,14118,14343
01067,AL,Henry County Total Migration-US and Foreign,500,429,71,25901,17934
01069,AL,Houston County Total Migration-US and Foreign,2794,2620,174,125780,135150
