FIPS_Code,Area_Name,Poverty Percentage
01001,Autauga County,11.7
01003,Baldwin County,10.0
01005,Barbour County,25.5
01007,Bibb County,19.4
01009,Blount County,12.8
01011,Bullock County,33.6
01013,Butler County,23.6
01015,Calhoun County,20.1
01017,Chambers County,17.1
01019,Cherokee County,15.6
01021,Chilton County,15.3
01023,Choctaw County,24.8
01025,Clarke County,19.0
01027,Clay County,16.9
01029,Cleburne County,15.8
01031,Coffee County,16.5
01033,Colbert County,15.4
01035,Conecuh County,26.5
01037,Coosa County,18.2
01039,Covington County,16.7
01041,Crenshaw County,19.5
01043,Cullman County,15.5
01045,Dale County,16.6
01047,Dallas County,31.4
01049,DeKalb County,21.6
01051,Elmore County,12.5
01053,Escambia County,21.3
01055,Etowah County,19.6
01057,Fayette County,16.2
01059,Franklin County,22.5
01061,Geneva County,19.2
01063,Greene County,31.0
01065,Hale County,23.0
01067,Henry County,16.4
01069,Houston County,16.5
01071,Jackson County,16.0
01073,Jefferson County,16.0
01075,Lamar County,16.4
01077,Lauderdale County,13.6
01079,Lawrence County,14.2
01081,Lee County,17.9
01083,Limestone County,8.6
01085,Lowndes County,29.4
01087,Macon County,28.8
01089,Madison County,10.5
01091,Marengo County,23.5
01093,Marion County,19.0
01095,Marshall County,16.5
01097,Mobile County,16.3
01099,Monroe County,19.1
01101,Montgomery County,18.3
01103,Morgan County,12.0
01105,Perry County,33.8
01107,Pickens County,21.5
01109,Pike County,23.8
01111,Randolph County,15.9
01113,Russell County,18.9
01115,St. Clair County,10.8
01117,Shelby County,8.4
01119,Sumter County,33.5
01121,Talladega County,17.0
01123,Tallapoosa County,15.1
01125,Tuscaloosa County,19.2
01127,Walker County,17.5
01129,Washington County,18.7
01131,Wilcox County,32.7
01133,Winston County,16.6
04001,Apache County,29.6
04003,Cochise County,16.3
04005,Coconino County,17.8
04007,Gila County,17.7
04009,Graham County,17.3
04011,Greenlee County,9.7
04012,La Paz County,18.7
04013,Maricopa County,11.1
04015,Mohave County,16.8
04017,Navajo County,24.7
04019,Pima County,14.0
04021,Pinal County,11.8
04023,Santa Cruz County,20.1
04025,Yavapai County,12.8
04027,Yuma County,15.9
05001,Arkansas County,16.8
05003,Ashley County,18.4
05005,Baxter County,16.0
05007,Benton County,7.8
05009,Boone County,14.9
05011,Bradley County,23.2
05013,Calhoun County,14.3
05015,Carroll County,14.8
05017,Chicot County,29.7
05019,Clark County,18.9
05021,Clay County,17.5
05023,Cleburne County,13.5
05025,Cleveland County,15.7
05027,Columbia County,23.3
05029,Conway County,17.1
05031,Craighead County,16.1
05033,Crawford County,13.3
05035,Crittenden County,20.6
05037,Cross County,19.1
05039,Dallas County,19.6
05041,Desha County,25.0
05043,Drew County,20.6
05045,Faulkner County,12.9
05047,Franklin County,19.0
05049,Fulton County,17.5
05051,Garland County,18.9
05053,Grant County,11.1
05055,Greene County,16.2
