place_fips,place_name,state,pop_2010,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
0624638,Folsom,CA,,8.5,4.2,4.4,2.0,11.7,6.9,14.4,8.8,9.7,2018
1239425,Largo,FL,,8.1,8.1,6.7,3.2,23.1,9.2,28.6,13.6,14.4,2018
0606000,Berkeley,CA,,8.7,4.1,4.3,2.3,11.4,7.7,14.5,9.0,10.1,2018
0650258,Napa,CA,,8.9,5.6,5.3,2.6,14.7,8.3,19.5,11.6,12.1,2018
1269700,Sunrise,FL,,8.0,6.5,5.9,3.3,16.9,11.2,28.6,12.7,13.0,2018
1255775,Pembroke Pines,FL,,7.1,5.3,5.3,2.7,13.4,10.1,25.5,10.9,11.1,2018
3474000,Trenton,NJ,,10.7,9.3,7.9,5.1,23.1,15.4,43.4,18.7,16.5,2018
0862000,Pueblo,CO,,9.7,6.3,6.2,3.3,20.0,10.0,23.6,15.5,13.8,2018
5566000,Racine,WI,,10.1,6.8,6.6,3.6,21.3,11.2,25.5,14.2,13.8,2018
5303180,Auburn,WA,,10.0,6.5,6.1,3.2,16.0,9.3,18.6,12.5,12.9,2018
4805000,Austin,TX,,8.2,4.7,5.3,2.6,14.1,10.1,21.5,10.4,10.7,2018
1779293,Waukegan,IL,,10.0,7.1,7.1,3.8,20.4,13.1,34.6,15.5,13.3,2018
2707966,Brooklyn Park,MN,,8.2,4.3,5.0,2.7,16.8,8.0,18.9,9.1,9.9,2018
5357745,Renton,WA,,9.1,5.0,5.1,2.6,12.6,8.9,16.5,10.3,10.8,2018
4055000,Oklahoma City,OK,,10.1,7.3,6.7,3.5,18.8,10.9,29.7,14.1,14.3,2018
1304204,Augusta,GA,,10.1,8.2,6.8,4.4,22.6,13.3,33.7,14.7,14.3,2018
2567000,Springfield,MA,,12.6,8.4,7.7,4.2,23.8,13.8,35.1,16.9,16.9,2018
0603526,Bakersfield,CA,,9.4,6.5,6.2,3.3,16.8,10.8,24.6,13.6,13.5,2018
2241155,Lake Charles,LA,,9.7,8.1,7.2,4.4,24.0,13.6,31.7,14.7,14.5,2018
1768003,Schaumburg,IL,,8.2,4.5,4.6,2.1,13.3,7.2,18.5,8.8,9.3,2018
4715160,Clarksville,TN,,10.3,8.1,6.7,3.4,22.1,11.7,28.1,14.9,14.3,2018
1245000,Miami,FL,,7.4,6.8,7.0,3.9,16.9,13.9,41.6,15.2,13.3,2018
5531000,Green Bay,WI,,9.5,6.7,6.5,3.2,20.7,9.9,23.8,12.8,13.2,2018
4659020,Sioux Falls,SD,,7.9,5.5,5.9,2.7,18.7,8.0,18.9,10.1,10.3,2018
0832155,Greeley,CO,,9.2,5.6,5.6,3.0,18.6,8.3,19.7,12.3,12.5,2018
0682954,Visalia,CA,,9.2,6.4,6.1,3.1,16.0,10.8,23.4,13.3,12.9,2018
4804000,Arlington,TX,,9.3,6.0,6.0,3.0,18.1,11.6,28.9,12.3,12.1,2018
1919000,Davenport,IA,,8.5,5.9,6.1,3.0,19.9,9.8,24.1,10.9,11.9,2018
4863500,Round Rock,TX,,8.4,4.9,5.2,2.5,14.8,9.4,22.5,10.3,10.5,2018
0677000,Sunnyvale,CA,,7.0,3.3,4.0,1.8,8.6,7.6,16.6,7.7,8.1,2018
0681344,Upland,CA,,9.0,5.3,5.2,2.6,13.5,9.3,19.5,11.4,11.9,2018
3673000,Syracuse,NY,,12.7,9.3,7.3,4.3,24.6,13.8,31.7,16.0,15.4,2018
1271000,Tampa,FL,,8.3,7.1,6.5,3.7,19.3,12.5,30.7,14.2,13.6,2018
0668252,San Mateo,CA,,8.0,4.2,4.4,2.1,11.4,8.0,16.6,9.1,9.9,2018
4842508,Lewisville,TX,,8.5,5.5,5.6,2.8,16.8,10.0,23.9,11.2,11.2,2018
1258050,Pompano Beach,FL,,8.4,7.8,6.7,3.8,20.7,11.5,31.2,14.4,14.7,2018
3570500,Santa Fe,NM,,9.3,4.7,4.9,2.4,14.0,8.3,15.6,11.4,11.5,2018
0668378,San Ramon,CA,,7.2,3.1,3.7,1.7,8.5,6.7,13.0,7.0,8.1,2018
0675000,Stockton,CA,,9.4,6.7,6.5,3.6,16.3,12.6,28.3,14.7,14.1,2018
2649000,Livonia,MI,,9.8,6.4,5.4,2.4,18.2,6.9,17.5,10.3,11.8,2018
0666000,San Diego,CA,,8.0,4.6,4.9,2.5,12.4,9.0,17.9,10.3,11.3,2018
3240000,Las Vegas,NV,,8.7,7.1,6.7,3.2,19.2,11.4,26.2,14.2,14.6,2018
1810342,Carmel,IN,,8.7,4.0,4.6,1.9,11.7,7.0,15.0,7.4,8.7,2018
3728000,Greensboro,NC,,9.0,6.3,6.0,3.6,19.8,11.2,23.4,11.8,13.0,2018
1245975,Miramar,FL,,7.6,5.1,5.2,3.0,14.1,11.5,27.0,11.3,11.4,2018
4123850,Eugene,OR,,10.2,6.4,5.8,2.9,17.5,8.3,16.6,11.9,13.1,2018
4134100,Hillsboro,OR,,9.7,5.4,5.3,2.6,15.2,8.0,15.8,10.9,11.9,2018
0648354,Modesto,CA,,9.4,6.6,6.2,3.2,16.1,10.6,25.0,13.5,13.7,2018
0616000,Concord,CA,,8.6,5.1,5.1,2.5,13.9,8.8,19.5,11.0,11.7,2018
0477000,Tucson,AZ,,10.8,6.9,6.5,3.3,19.1,10.5,26.1,14.9,14.0,2018
