county_fips,county_name,state,pop_total,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
34041,Warren,NJ,,,,,,,,,,,2021
40065,Jackson,OK,,9.7,7.1,6.3,3.3,17.4,11.8,38.5,13.8,15.0,2021
17101,Lawrence,IL,,9.5,8.0,6.4,3.4,21.7,10.7,30.3,13.9,15.8,2021
20009,Barton,KS,,9.7,6.7,5.8,3.1,18.7,11.0,32.1,12.5,15.4,2021
02020,Anchorage,AK,,9.2,5.0,4.8,2.7,15.3,8.3,20.5,10.1,12.4,2021
40137,Stephens,OK,,10.5,8.4,6.8,3.5,21.8,10.5,39.1,14.6,16.7,2021
34031,Passaic,NJ,,,,,,,,,,,2021
54059,Mingo,WV,,12.2,12.7,9.3,4.3,29.5,14.1,38.1,21.2,24.1,2021
27017,Carlton,MN,,9.3,5.6,5.5,2.9,20.4,8.5,22.0,11.3,13.5,2021
31023,Butler,NE,,7.9,5.2,5.2,2.6,17.0,8.2,27.0,9.9,11.9,2021
21087,Green,KY,,10.8,11.4,8.1,4.1,28.4,12.5,35.6,17.9,19.6,2021
51005,Alleghany,VA,,10.5,8.7,6.4,3.5,22.8,10.8,31.3,14.5,17.4,2021
48215,Hidalgo,TX,,7.9,6.2,6.9,3.7,15.6,18.1,36.6,16.7,14.8,2021
29209,Stone,MO,,10.2,8.5,6.6,3.4,24.3,9.7,32.5,14.5,17.2,2021
29037,Cass,MO,,10.1,7.0,5.5,2.9,19.8,8.5,29.6,12.4,15.2,2021
47049,Fentress,TN,,10.7,11.3,7.6,3.9,27.0,12.5,36.1,18.2,20.7,2021
19041,Clay,IA,,8.5,5.8,5.5,2.9,18.2,8.8,27.0,10.5,13.3,2021
36103,Suffolk,NY,,8.7,5.3,4.6,2.4,13.7,8.3,26.6,10.6,12.3,2021
27047,Freeborn,MN,,9.0,5.8,5.7,3.0,19.2,9.2,26.7,11.7,13.8,2021
31129,Nuckolls,NE,,8.5,6.2,6.0,3.0,18.3,9.4,30.8,11.5,13.4,2021
39103,Medina,OH,,9.5,6.7,5.3,2.6,18.3,8.9,24.9,11.3,15.3,2021
28021,Claiborne,MS,,12.1,9.3,8.1,6.3,23.8,19.6,48.3,18.2,19.6,2021
17069,Hardin,IL,,9.9,8.3,6.5,3.4,22.9,10.2,30.1,14.3,17.1,2021
48179,Gray,TX,,8.7,7.7,6.8,3.7,20.2,13.2,34.3,15.1,15.8,2021
21063,Elliott,KY,,10.8,13.4,9.6,4.7,32.2,14.3,41.6,20.5,21.2,2021
28137,Tate,MS,,10.1,7.8,6.5,3.9,20.9,12.2,39.3,14.1,17.6,2021
12091,Okaloosa,FL,,8.6,7.2,5.4,3.1,18.0,9.5,26.4,13.0,15.6,2021
48443,Terrell,TX,776.0,7.9,5.6,5.9,3.2,15.8,14.2,33.3,13.8,13.9,2021
27111,Otter Tail,MN,,9.2,5.2,5.5,2.8,16.7,8.1,22.1,10.2,12.8,2021
