fips,state,county,population,md_pc,do_pc,pa,np,aprn,nhsc_sites,nhsc_fte_pc,total_pc_per_100k,year
01001,AL,Autauga,59759.0,24.0,2.0,,,,1.0,1.0,,2023
01003,AL,Baldwin,246435.0,136.0,14.0,,,,1.0,1.0,,2023
01005,AL,Barbour,24706.0,7.0,3.0,,,,2.0,1.0,,2023
01007,AL,Bibb,22005.0,14.0,1.0,,,,2.0,4.53,,2023
01009,AL,Blount,59512.0,12.0,0.0,,,,0.0,0.0,,2023
01011,AL,Bullock,10202.0,2.0,0.0,,,,1.0,1.0,,2023
01013,AL,Butler,18650.0,5.0,0.0,,,,0.0,0.0,,2023
01015,AL,Calhoun,115788.0,63.0,5.0,,,,1.0,0.0,,2023
01017,AL,Chambers,34088.0,14.0,0.0,,,,1.0,0.0,,2023
01019,AL,Cherokee,25302.0,8.0,3.0,,,,0.0,0.0,,2023
01021,AL,Chilton,45884.0,10.0,0.0,,,,0.0,0.0,,2023
01023,AL,Choctaw,12439.0,5.0,0.0,,,,1.0,1.0,,2023
01025,AL,Clarke,22515.0,8.0,1.0,,,,0.0,0.0,,2023
01027,AL,Clay,14198.0,4.0,0.0,,,,1.0,0.4,,2023
01029,AL,Cleburne,15346.0,3.0,1.0,,,,0.0,0.0,,2023
01031,AL,Coffee,54805.0,23.0,5.0,,,,1.0,0.0,,2023
01033,AL,Colbert,58033.0,31.0,7.0,,,,0.0,0.0,,2023
01035,AL,Conecuh,11206.0,5.0,0.0,,,,0.0,0.0,,2023
01037,AL,Coosa,10166.0,0.0,0.0,,,,0.0,0.0,,2023
01039,AL,Covington,37602.0,16.0,2.0,,,,0.0,0.0,,2023
01041,AL,Crenshaw,13025.0,3.0,0.0,,,,0.0,0.0,,2023
01043,AL,Cullman,90665.0,37.0,6.0,,,,0.0,0.0,,2023
01045,AL,Dale,49544.0,12.0,2.0,,,,0.0,0.0,,2023
01047,AL,Dallas,36767.0,26.0,1.0,,,,0.0,0.0,,2023
01049,AL,DeKalb,71998.0,26.0,3.0,,,,1.0,3.8,,2023
01051,AL,Elmore,89563.0,17.0,3.0,,,,3.0,6.0,,2023
01053,AL,Escambia,36666.0,8.0,3.0,,,,2.0,3.0,,2023
01055,AL,Etowah,103088.0,70.0,6.0,,,,2.0,1.0,,2023
01057,AL,Fayette,16118.0,14.0,2.0,,,,0.0,0.0,,2023
01059,AL,Franklin,31932.0,12.0,1.0,,,,1.0,0.0,,2023
01061,AL,Geneva,26783.0,8.0,0.0,,,,2.0,1.86,,2023
01063,AL,Greene,7422.0,3.0,0.0,,,,0.0,0.0,,2023
01065,AL,Hale,14595.0,3.0,0.0,,,,1.0,1.85,,2023
01067,AL,Henry,17655.0,4.0,2.0,,,,0.0,0.0,,2023
01069,AL,Houston,108079.0,81.0,7.0,,,,0.0,0.0,,2023
01071,AL,Jackson,52891.0,26.0,1.0,,,,0.0,0.0,,2023
