fips,state,county,cbsa_code,rural_urban_code,population,md_pc,do_pc,pa,np,aprn,nhsc_sites,nhsc_fte_pc,total_pc_per_100k,year
01001,AL,Autauga,33860.0,2.0,59759.0,24.0,1.0,,,,1.0,1.0,,2024
01003,AL,Baldwin,19300.0,3.0,246435.0,144.0,16.0,,,,2.0,0.0,,2024
01005,AL,Barbour,21640.0,6.0,24706.0,7.0,1.0,,,,3.0,2.0,,2024
01007,AL,Bibb,13820.0,1.0,22005.0,18.0,3.0,,,,3.0,0.0,,2024
01009,AL,Blount,13820.0,1.0,59512.0,12.0,0.0,,,,0.0,0.0,,2024
01011,AL,Bullock,,8.0,10202.0,2.0,0.0,,,,1.0,2.0,,2024
01013,AL,Butler,,6.0,18650.0,5.0,0.0,,,,1.0,0.0,,2024
01015,AL,Calhoun,11500.0,3.0,115788.0,57.0,4.0,,,,0.0,0.0,,2024
01017,AL,Chambers,29300.0,6.0,34088.0,12.0,0.0,,,,0.0,0.0,,2024
01019,AL,Cherokee,,8.0,25302.0,8.0,2.0,,,,1.0,1.0,,2024
01021,AL,Chilton,13820.0,1.0,45884.0,11.0,0.0,,,,0.0,0.0,,2024
01023,AL,Choctaw,,9.0,12439.0,5.0,0.0,,,,0.0,0.0,,2024
01025,AL,Clarke,,9.0,22515.0,9.0,1.0,,,,1.0,0.0,,2024
01027,AL,Clay,,9.0,14198.0,5.0,0.0,,,,1.0,0.4,,2024
01029,AL,Cleburne,,8.0,15346.0,3.0,1.0,,,,1.0,1.0,,2024
01031,AL,Coffee,21460.0,4.0,54805.0,22.0,5.0,,,,1.0,0.0,,2024
01033,AL,Colbert,22520.0,3.0,58033.0,28.0,7.0,,,,0.0,0.0,,2024
01035,AL,Conecuh,,9.0,11206.0,5.0,0.0,,,,0.0,0.0,,2024
01037,AL,Coosa,45180.0,8.0,10166.0,0.0,0.0,,,,0.0,0.0,,2024
01039,AL,Covington,,6.0,37602.0,16.0,2.0,,,,0.0,0.0,,2024
01041,AL,Crenshaw,,8.0,13025.0,2.0,0.0,,,,1.0,0.0,,2024
01043,AL,Cullman,18980.0,4.0,90665.0,36.0,6.0,,,,1.0,0.0,,2024
01045,AL,Dale,37120.0,4.0,49544.0,14.0,1.0,,,,0.0,0.0,,2024
01047,AL,Dallas,42820.0,4.0,36767.0,35.0,1.0,,,,1.0,1.0,,2024
01049,AL,DeKalb,22840.0,6.0,71998.0,27.0,3.0,,,,1.0,2.0,,2024
01051,AL,Elmore,33860.0,2.0,89563.0,16.0,3.0,,,,2.0,2.0,,2024
01053,AL,Escambia,,6.0,36666.0,6.0,3.0,,,,2.0,1.0,,2024
01055,AL,Etowah,23460.0,3.0,103088.0,71.0,7.0,,,,1.0,1.0,,2024
01057,AL,Fayette,,8.0,16118.0,13.0,2.0,,,,0.0,0.0,,2024
01059,AL,Franklin,40770.0,6.0,31932.0,11.0,1.0,,,,0.0,0.0,,2024
01061,AL,Geneva,20020.0,3.0,26783.0,8.0,0.0,,,,2.0,1.86,,2024
01063,AL,Greene,46220.0,2.0,7422.0,3.0,0.0,,,,0.0,0.0,,2024
01065,AL,Hale,46220.0,2.0,14595.0,4.0,0.0,,,,1.0,1.85,,2024
01067,AL,Henry,20020.0,3.0,17655.0,5.0,3.0,,,,0.0,0.0,,2024
01069,AL,Houston,20020.0,3.0,108079.0,85.0,7.0,,,,0.0,0.0,,2024
01071,AL,Jackson,42460.0,6.0,52891.0,26.0,1.0,,,,1.0,1.0,,2024
01073,AL,Jefferson,13820.0,1.0,665409.0,707.0,37.0,,,,9.0,9.8,,2024
01075,AL,Lamar,,8.0,13705.0,0.0,0.0,,,,1.0,0.0,,2024
01077,AL,Lauderdale,22520.0,3.0,95878.0,53.0,4.0,,,,0.0,0.0,,2024
01079,AL,Lawrence,19460.0,3.0,33214.0,7.0,0.0,,,,0.0,0.0,,2024
01081,AL,Lee,12220.0,3.0,180773.0,72.0,19.0,,,,0.0,0.0,,2024
01083,AL,Limestone,26620.0,2.0,110900.0,35.0,5.0,,,,0.0,0.0,,2024
01085,AL,Lowndes,33860.0,2.0,9777.0,1.0,0.0,,,,0.0,0.0,,2024
01087,AL,Macon,12220.0,3.0,18516.0,5.0,0.0,,,,0.0,0.0,,2024
01089,AL,Madison,26620.0,2.0,403565.0,341.0,13.0,,,,3.0,2.0,,2024
01091,AL,Marengo,,6.0,18745.0,8.0,0.0,,,,0.0,0.0,,2024
01093,AL,Marion,,9.0,29156.0,5.0,4.0,,,,1.0,0.0,,2024
01095,AL,Marshall,10700.0,4.0,99423.0,52.0,3.0,,,,0.0,0.0,,2024
01097,AL,Mobile,33660.0,2.0,411411.0,283.0,19.0,,,,14.0,13.0,,2024
01099,AL,Monroe,,8.0,19404.0,9.0,0.0,,,,1.0,1.0,,2024
01101,AL,Montgomery,33860.0,2.0,226361.0,207.0,24.0,,,,1.0,1.2,,2024
01103,AL,Morgan,19460.0,3.0,124211.0,62.0,3.0,,,,1.0,1.0,,2024
01105,AL,Perry,,8.0,8035.0,3.0,0.0,,,,1.0,1.0,,2024
01107,AL,Pickens,46220.0,2.0,18697.0,6.0,0.0,,,,2.0,1.0,,2024
01109,AL,Pike,45980.0,6.0,33014.0,13.0,2.0,,,,1.0,1.0,,2024
01111,AL,Randolph,,8.0,22479.0,4.0,3.0,,,,1.0,0.6,,2024
01113,AL,Russell,17980.0,2.0,58555.0,11.0,2.0,,,,0.0,0.0,,2024
01115,AL,St. Clair,13820.0,1.0,93932.0,15.0,1.0,,,,0.0,0.0,,2024
01117,AL,Shelby,13820.0,1.0,230115.0,163.0,15.0,,,,1.0,1.8,,2024
01119,AL,Sumter,,8.0,11853.0,5.0,1.0,,,,0.0,0.0,,2024
01121,AL,Talladega,45180.0,4.0,80704.0,23.0,1.0,,,,2.0,0.0,,2024
01123,AL,Tallapoosa,10760.0,6.0,40977.0,17.0,0.0,,,,0.0,0.0,,2024
01125,AL,Tuscaloosa,46220.0,2.0,236780.0,146.0,6.0,,,,2.0,4.0,,2024
01127,AL,Walker,13820.0,1.0,64339.0,28.0,2.0,,,,1.0,0.0,,2024
01129,AL,Washington,,8.0,15122.0,1.0,0.0,,,,1.0,0.0,,2024
01131,AL,Wilcox,,9.0,10059.0,2.0,0.0,,,,0.0,0.0,,2024
01133,AL,Winston,,8.0,23755.0,6.0,2.0,,,,1.0,0.0,,2024
02013,AK,Aleutians East (B),,9.0,3398.0,0.0,0.0,,,,0.0,0.0,,2024
