fips,state,countyname,n1_inflow,n1_outflow,net_migration,agi_inflow,agi_outflow
01000,AL,Total Migration-US and Foreign,130855,127216,3639,7058182,6569544
01001,AL,Autauga County Total Migration-US and Foreign,2400,2318,82,125069,130558
01003,AL,Baldwin County Total Migration-US and Foreign,8828,5258,3570,594263,286198
01005,AL,Barbour County Total Migration-US and Foreign,447,564,-117,14251,20910
01007,AL,Bibb County Total Migration-US and Foreign,531,495,36,23022,21288
01009,AL,Blount County Total Migration-US and Foreign,1517,1331,186,70730,55774
01011,AL,Bullock County Total Migration-US and Foreign,155,195,-40,6075,7761
01013,AL,Butler County Total Migration-US and Foreign,334,396,-62,12418,16401
01015,AL,Calhoun County Total Migration-US and Foreign,2570,2839,-269,105262,122960
01017,AL,Chambers County Total Migration-US and Foreign,927,936,-9,44011,34260
01019,AL,Cherokee County Total Migration-US and Foreign,647,480,167,31054,17700
01021,AL,Chilton County Total Migration-US and Foreign,1001,895,106,41509,34912
01023,AL,Choctaw County Total Migration-US and Foreign,186,191,-5,7058,7136
01025,AL,Clarke County Total Migration-US and Foreign,363,472,-109,13770,19889
01027,AL,Clay County Total Migration-US and Foreign,301,300,1,13743,10842
01029,AL,Cleburne County Total Migration-US and Foreign,404,331,73,18235,12993
01031,AL,Coffee County Total Migration-US and Foreign,2348,2369,-21,110838,120427
01033,AL,Colbert County Total Migration-US and Foreign,1579,1438,141,74348,59352
01035,AL,Conecuh County Total Migration-US and Foreign,277,262,15,9621,9403
01037,AL,Coosa County Total Migration-US and Foreign,311,309,2,12533,10588
01039,AL,Covington County Total Migration-US and Foreign,730,716,14,33912,25747
01041,AL,Crenshaw County Total Migration-US and Foreign,316,317,-1,11959,12874
01043,AL,Cullman County Total Migration-US and Foreign,1825,1443,382,85566,63210
01045,AL,Dale County Total Migration-US and Foreign,2619,2753,-134,113821,128298
01047,AL,Dallas County Total Migration-US and Foreign,491,830,-339,16208,30459
01049,AL,DeKalb County Total Migration-US and Foreign,1469,1321,148,60728,46916
01051,AL,Elmore County Total Migration-US and Foreign,3107,3006,101,170982,151621
01053,AL,Escambia County Total Migration-US and Foreign,783,689,94,31666,25827
01055,AL,Etowah County Total Migration-US and Foreign,2143,2020,123,88861,88873
01057,AL,Fayette County Total Migration-US and Foreign,329,329,0,12240,12115
01059,AL,Franklin County Total Migration-US and Foreign,709,733,-24,25192,27649
01061,AL,Geneva County Total Migration-US and Foreign,673,717,-44,24710,25543
01063,AL,Greene County Total Migration-US and Foreign,164,210,-46,5273,6583
01065,AL,Hale County Total Migration-US and Foreign,402,364,38,17990,12802
01067,AL,Henry County Total Migration-US and Foreign,558,462,96,25658,18718
01069,AL,Houston County Total Migration-US and Foreign,3086,3019,67,139078,145670
01071,AL,Jackson County Total Migration-US and Foreign,1032,1003,29,46621,40794
01073,AL,Jefferson County Total Migration-US and Foreign,15342,16951,-1609,1107015,1049043
01075,AL,Lamar County Total Migration-US and Foreign,240,247,-7,8692,9407
01077,AL,Lauderdale County Total Migration-US and Foreign,2203,2140,63,107734,93845
01079,AL,Lawrence County Total Migration-US and Foreign,705,710,-5,25727,27747
01081,AL,Lee County Total Migration-US and Foreign,5565,5489,76,315686,260421
01083,AL,Limestone County Total Migration-US and Foreign,3495,2595,900,231674,157018
01085,AL,Lowndes County Total Migration-US and Foreign,272,304,-32,8278,11065
01087,AL,Macon County Total Migration-US and Foreign,388,525,-137,13497,16889
01089,AL,Madison County Total Migration-US and Foreign,11872,10240,1632,708935,633041
01091,AL,Marengo County Total Migration-US and Foreign,399,422,-23,15718,17964
01093,AL,Marion County Total Migration-US and Foreign,686,653,33,20565,22383
01095,AL,Marshall County Total Migration-US and Foreign,2409,2304,105,111082,89044
01097,AL,Mobile County Total Migration-US and Foreign,6514,7536,-1022,318622,377840
01099,AL,Monroe County Total Migration-US and Foreign,346,362,-16,12962,15989
01101,AL,Montgomery County Total Migration-US and Foreign,5748,6776,-1028,303727,384232
01103,AL,Morgan County Total Migration-US and Foreign,2781,2786,-5,124694,127391
01105,AL,Perry County Total Migration-US and Foreign,150,213,-63,4527,7917
01107,AL,Pickens County Total Migration-US and Foreign,327,323,4,12963,16285
01109,AL,Pike County Total Migration-US and Foreign,654,930,-276,25137,34104
01111,AL,Randolph County Total Migration-US and Foreign,623,470,153,29556,21772
01113,AL,Russell County Total Migration-US and Foreign,3009,3105,-96,111424,118804
01115,AL,St. Clair County Total Migration-US and Foreign,3009,2476,533,161963,132537
01117,AL,Shelby County Total Migration-US and Foreign,8378,7622,756,540284,586692
01119,AL,Sumter County Total Migration-US and Foreign,182,281,-99,5386,9091
01121,AL,Talladega County Total Migration-US and Foreign,1960,1874,86,88448,78721
01123,AL,Tallapoosa County Total Migration-US and Foreign,1163,976,187,74029,43441
01125,AL,Tuscaloosa County Total Migration-US and Foreign,4660,5306,-646,234256,267049
01127,AL,Walker County Total Migration-US and Foreign,1133,1142,-9,47401,48528
01129,AL,Washington County Total Migration-US and Foreign,298,327,-29,11651,13041
01131,AL,Wilcox County Total Migration-US and Foreign,195,232,-37,6765,8320
01133,AL,Winston County Total Migration-US and Foreign,587,588,-1,31502,26870
02000,AK,Total Migration-US and Foreign,25945,32621,-6676,1406830,2013729
02013,AK,Aleutians East Borough Total Migration-US and Foreign,82,106,-24,3243,5155
02016,AK,Aleutians West Census Area Total Migration-US and Foreign,185,272,-87,7670,15326
02020,AK,Anchorage Municipality Total Migration-US and Foreign,10341,14636,-4295,570678,977995
02050,AK,Bethel Census Area Total Migration-US and Foreign,278,387,-109,13072,26456
02060,AK,Bristol Bay Borough Total Migration-US and Foreign,-1,45,-46,-1,2654
02068,AK,Denali Borough Total Migration-US and Foreign,107,121,-14,4493,7329
02070,AK,Dillingham Census Area Total Migration-US and Foreign,103,125,-22,6077,8107
02090,AK,Fairbanks North Star Borough Total Migration-US and Foreign,4496,6382,-1886,205865,341471
02100,AK,Haines Borough Total Migration-US and Foreign,66,85,-19,3946,5040
02105,AK,Hoonah-Angoon Census Area Total Migration-US and Foreign,69,68,1,3009,3027
02110,AK,Juneau City and Borough Total Migration-US and Foreign,1117,1420,-303,62773,92415
02122,AK,Kenai Peninsula Borough Total Migration-US and Foreign,1962,1903,59,124149,109290
02130,AK,Ketchikan Gateway Borough Total Migration-US and Foreign,509,502,7,24338,31488
02150,AK,Kodiak Island Borough Total Migration-US and Foreign,669,893,-224,35681,50671
02158,AK,Kusilvak Census Area Total Migration-US and Foreign,85,110,-25,2274,4013
02164,AK,Lake and Peninsula Borough Total Migration-US and Foreign,30,41,-11,1647,1736
02170,AK,Matanuska-Susitna Borough Total Migration-US and Foreign,3938,3261,677,234936,196251
02180,AK,Nome Census Area Total Migration-US and Foreign,147,214,-67,7271,13602
02185,AK,North Slope Borough Total Migration-US and Foreign,157,168,-11,8696,14482
02188,AK,Northwest Arctic Borough Total Migration-US and Foreign,148,184,-36,7746,12227
02195,AK,Petersburg Census Area Total Migration-US and Foreign,96,120,-24,5116,5594
02220,AK,Sitka City and Borough Total Migration-US and Foreign,343,424,-81,19498,24881
02230,AK,Skagway Municipality Total Migration-US and Foreign,56,62,-6,2765,3002
02261,AK,Valdez-Cordova Census Area Total Migration-US and Foreign,397,461,-64,20576,26427
02275,AK,Wrangell City and Borough Total Migration-US and Foreign,54,57,-3,2619,3123
02282,AK,Yakutat City and Borough Total Migration-US and Foreign,-1,-1,0,-1,-1
02290,AK,Yukon-Koyukuk Census Area Total Migration-US and Foreign,94,148,-54,3679,6579
04000,AZ,Total Migration-US and Foreign,199952,160917,39035,12829521,9071735
04001,AZ,Apache County Total Migration-US and Foreign,2209,1806,403,77487,67279
04003,AZ,Cochise County Total Migration-US and Foreign,4893,4904,-11,228974,252508
04005,AZ,Coconino County Total Migration-US and Foreign,5330,6105,-775,274742,308554
04007,AZ,Gila County Total Migration-US and Foreign,2052,1465,587,111101,69588
04009,AZ,Graham County Total Migration-US and Foreign,711,785,-74,38092,37100
04011,AZ,Greenlee County Total Migration-US and Foreign,270,350,-80,14379,23849
04012,AZ,La Paz County Total Migration-US and Foreign,618,490,128,26257,19005
04013,AZ,Maricopa County Total Migration-US and Foreign,107450,85624,21826,7627254,5282977
04015,AZ,Mohave County Total Migration-US and Foreign,8296,5811,2485,430773,249321
04017,AZ,Navajo County Total Migration-US and Foreign,3585,2833,752,170165,123158
04019,AZ,Pima County Total Migration-US and Foreign,26718,23325,3393,1707693,1297801
04021,AZ,Pinal County Total Migration-US and Foreign,20722,13982,6740,1114271,699973
04023,AZ,Santa Cruz County Total Migration-US and Foreign,1067,1047,20,49269,50490
04025,AZ,Yavapai County Total Migration-US and Foreign,10880,7400,3480,708382,341002
04027,AZ,Yuma County Total Migration-US and Foreign,5151,4990,161,250682,249132
05000,AR,Total Migration-US and Foreign,90287,88419,1868,4306441,4231197
05001,AR,Arkansas County Total Migration-US and Foreign,332,446,-114,11784,16750
05003,AR,Ashley County Total Migration-US and Foreign,302,390,-88,11315,16063
05005,AR,Baxter County Total Migration-US and Foreign,1445,1131,314,64997,43882
05007,AR,Benton County Total Migration-US and Foreign,12004,9186,2818,779088,648136
05009,AR,Boone County Total Migration-US and Foreign,1062,945,117,42081,38053
