county_fips,state,countyname,n1_inflow,n1_outflow,net_migration,agi_inflow,agi_outflow
01001,AL,Autauga County Total Migration-US and Foreign,2104,1918,186,123290,113574
01003,AL,Baldwin County Total Migration-US and Foreign,7870,5257,2613,669085,336312
01005,AL,Barbour County Total Migration-US and Foreign,518,478,40,19386,18007
01007,AL,Bibb County Total Migration-US and Foreign,586,404,182,21151,17244
01009,AL,Blount County Total Migration-US and Foreign,1420,1197,223,68157,54365
01011,AL,Bullock County Total Migration-US and Foreign,204,153,51,7201,4897
01013,AL,Butler County Total Migration-US and Foreign,333,328,5,13058,11622
01015,AL,Calhoun County Total Migration-US and Foreign,2339,2430,-91,101648,114348
01017,AL,Chambers County Total Migration-US and Foreign,800,729,71,35269,26308
01019,AL,Cherokee County Total Migration-US and Foreign,695,484,211,41614,20945
01021,AL,Chilton County Total Migration-US and Foreign,957,791,166,52822,36020
01023,AL,Choctaw County Total Migration-US and Foreign,152,187,-35,6111,8091
01025,AL,Clarke County Total Migration-US and Foreign,388,392,-4,16149,17749
01027,AL,Clay County Total Migration-US and Foreign,279,254,25,10927,10055
01029,AL,Cleburne County Total Migration-US and Foreign,360,302,58,16177,11832
01031,AL,Coffee County Total Migration-US and Foreign,2002,1933,69,106818,103653
01033,AL,Colbert County Total Migration-US and Foreign,1484,1229,255,71520,92971
01035,AL,Conecuh County Total Migration-US and Foreign,216,236,-20,7579,8084
01037,AL,Coosa County Total Migration-US and Foreign,307,245,62,15481,9677
01039,AL,Covington County Total Migration-US and Foreign,790,618,172,34679,22902
01041,AL,Crenshaw County Total Migration-US and Foreign,273,276,-3,10097,11186
01043,AL,Cullman County Total Migration-US and Foreign,2021,1398,623,119026,62927
01045,AL,Dale County Total Migration-US and Foreign,2355,2124,231,107437,104426
01047,AL,Dallas County Total Migration-US and Foreign,500,671,-171,17729,27489
01049,AL,DeKalb County Total Migration-US and Foreign,1422,1233,189,62870,48913
01051,AL,Elmore County Total Migration-US and Foreign,2916,2186,730,159869,133687
01053,AL,Escambia County Total Migration-US and Foreign,768,685,83,29601,25330
01055,AL,Etowah County Total Migration-US and Foreign,2060,1845,215,95735,84641
01057,AL,Fayette County Total Migration-US and Foreign,312,337,-25,13622,14145
01059,AL,Franklin County Total Migration-US and Foreign,542,556,-14,39695,22735
01061,AL,Geneva County Total Migration-US and Foreign,645,625,20,29558,24700
01063,AL,Greene County Total Migration-US and Foreign,130,122,8,4525,3830
01065,AL,Hale County Total Migration-US and Foreign,326,323,3,12868,12724
01067,AL,Henry County Total Migration-US and Foreign,520,399,121,25472,17683
01069,AL,Houston County Total Migration-US and Foreign,2939,2581,358,147911,123312
01071,AL,Jackson County Total Migration-US and Foreign,1130,868,262,60686,39271
01073,AL,Jefferson County Total Migration-US and Foreign,12725,14865,-2140,847618,1141949
