FIPS_Code,Area_Name,Median Income
01001,"Autauga County, AL",70148.0
01003,"Baldwin County, AL",71704.0
01005,"Barbour County, AL",41151.0
01007,"Bibb County, AL",54309.0
01009,"Blount County, AL",60553.0
01011,"Bullock County, AL",35798.0
01013,"Butler County, AL",41852.0
01015,"Calhoun County, AL",52772.0
01017,"Chambers County, AL",45563.0
01019,"Cherokee County, AL",52613.0
01021,"Chilton County, AL",61823.0
01023,"Choctaw County, AL",44458.0
01025,"Clarke County, AL",44906.0
01027,"Clay County, AL",49599.0
01029,"Cleburne County, AL",49248.0
01031,"Coffee County, AL",62429.0
01033,"Colbert County, AL",54593.0
01035,"Conecuh County, AL",36106.0
01037,"Coosa County, AL",49485.0
01039,"Covington County, AL",46958.0
01041,"Crenshaw County, AL",49161.0
01043,"Cullman County, AL",61774.0
01045,"Dale County, AL",50567.0
01047,"Dallas County, AL",35258.0
01049,"DeKalb County, AL",50037.0
01051,"Elmore County, AL",71463.0
01053,"Escambia County, AL",47792.0
01055,"Etowah County, AL",55487.0
01057,"Fayette County, AL",49205.0
01059,"Franklin County, AL",49611.0
01061,"Geneva County, AL",51585.0
01063,"Greene County, AL",35449.0
01065,"Hale County, AL",44702.0
01067,"Henry County, AL",56702.0
01069,"Houston County, AL",56842.0
01071,"Jackson County, AL",51965.0
01073,"Jefferson County, AL",61996.0
01075,"Lamar County, AL",51523.0
01077,"Lauderdale County, AL",59023.0
01079,"Lawrence County, AL",55516.0
01081,"Lee County, AL",59637.0
01083,"Limestone County, AL",83159.0
01085,"Lowndes County, AL",42268.0
01087,"Macon County, AL",36601.0
01089,"Madison County, AL",80426.0
01091,"Marengo County, AL",45587.0
01093,"Marion County, AL",47742.0
01095,"Marshall County, AL",53388.0
01097,"Mobile County, AL",54315.0
01099,"Monroe County, AL",47498.0
01101,"Montgomery County, AL",56862.0
01103,"Morgan County, AL",62260.0
01105,"Perry County, AL",33585.0
01107,"Pickens County, AL",45440.0
01109,"Pike County, AL",45144.0
01111,"Randolph County, AL",49433.0
01113,"Russell County, AL",45074.0
01115,"St. Clair County, AL",70361.0
01117,"Shelby County, AL",98263.0
01119,"Sumter County, AL",35152.0
01121,"Talladega County, AL",55186.0
01123,"Tallapoosa County, AL",55270.0
01125,"Tuscaloosa County, AL",60875.0
01127,"Walker County, AL",51065.0
01129,"Washington County, AL",53785.0
01131,"Wilcox County, AL",33682.0
01133,"Winston County, AL",51149.0
04001,"Apache County, AZ",40632.0
04003,"Cochise County, AZ",55254.0
04005,"Coconino County, AZ",64016.0
04007,"Gila County, AZ",51928.0
04009,"Graham County, AZ",63797.0
04011,"Greenlee County, AZ",76338.0
04012,"La Paz County, AZ",53925.0
04013,"Maricopa County, AZ",83668.0
04015,"Mohave County, AZ",54842.0
04017,"Navajo County, AZ",49948.0
04019,"Pima County, AZ",64007.0
04021,"Pinal County, AZ",76232.0
04023,"Santa Cruz County, AZ",53467.0
04025,"Yavapai County, AZ",64187.0
04027,"Yuma County, AZ",54209.0
05001,"Arkansas County, AR",52145.0
05003,"Ashley County, AR",47253.0
05005,"Baxter County, AR",48573.0
05007,"Benton County, AR",86374.0
05009,"Boone County, AR",53025.0
05011,"Bradley County, AR",44982.0
05013,"Calhoun County, AR",52535.0
05015,"Carroll County, AR",50433.0
05017,"Chicot County, AR",38217.0
05019,"Clark County, AR",50519.0
05021,"Clay County, AR",46855.0
05023,"Cleburne County, AR",52662.0
05025,"Cleveland County, AR",55533.0
05027,"Columbia County, AR",47278.0
05029,"Conway County, AR",52405.0
05031,"Craighead County, AR",60580.0
05033,"Crawford County, AR",54741.0
05035,"Crittenden County, AR",49644.0
05037,"Cross County, AR",48299.0
05039,"Dallas County, AR",44476.0
05041,"Desha County, AR",41251.0
05043,"Drew County, AR",48635.0
05045,"Faulkner County, AR",63429.0
05047,"Franklin County, AR",48248.0
05049,"Fulton County, AR",42588.0
05051,"Garland County, AR",53239.0
05053,"Grant County, AR",63512.0
05055,"Greene County, AR",54475.0
05057,"Hempstead County, AR",46423.0
05059,"Hot Spring County, AR",50654.0
05061,"Howard County, AR",46449.0
05063,"Independence County, AR",57611.0
05065,"Izard County, AR",43920.0
05067,"Jackson County, AR",43579.0
05069,"Jefferson County, AR",45894.0
05071,"Johnson County, AR",46660.0
05073,"Lafayette County, AR",42437.0
05075,"Lawrence County, AR",47312.0
05077,"Lee County, AR",35213.0
05079,"Lincoln County, AR",48311.0
05081,"Little River County, AR",48883.0
05083,"Logan County, AR",48510.0
05085,"Lonoke County, AR",66160.0
05087,"Madison County, AR",51233.0
05089,"Marion County, AR",49313.0
05091,"Miller County, AR",48652.0
05093,"Mississippi County, AR",45168.0
05095,"Monroe County, AR",33090.0
05097,"Montgomery County, AR",46069.0
05099,"Nevada County, AR",44649.0
05101,"Newton County, AR",47996.0
05103,"Ouachita County, AR",49275.0
05105,"Perry County, AR",56640.0
05107,"Phillips County, AR",36098.0
05109,"Pike County, AR",41348.0
05111,"Poinsett County, AR",47372.0
05113,"Polk County, AR",45289.0
